Journeyid,custid,productid,Visitdate,Stage,Action,Duration
1,64,18,10-06-2024,Checkout,Drop-off,NULL
2,94,11,09-07-2025,Checkout,Drop-off,NULL
3,34,8,14-06-2024,ProductPage,View,235
4,33,18,28-05-2025,Checkout,Drop-off,NULL
5,91,10,11-02-2023,Homepage,Click,156
6,54,11,19-12-2025,Homepage,View,264
7,80,4,25-08-2023,Homepage,View,298
8,99,10,03-07-2025,ProductPage,View,287
9,31,4,13-06-2025,ProductPage,View,278
10,44,16,23-04-2025,ProductPage,View,30
11,23,12,22-08-2023,Checkout,Drop-off,NULL
12,97,12,28-07-2023,ProductPage,View,227
13,83,5,20-06-2024,Homepage,View,223
14,14,13,01-11-2025,ProductPage,View,13
15,9,1,04-11-2025,ProductPage,View,292
16,14,16,17-07-2024,Homepage,View,46
17,67,2,11-12-2025,Homepage,View,185
18,70,15,13-10-2025,Homepage,View,191
19,9,1,15-08-2024,Homepage,View,187
20,44,18,19-02-2024,productpage,View,154
21,58,20,07-03-2024,Checkout,Drop-off,NULL
22,12,1,19-11-2025,Homepage,Click,20
23,58,1,05-07-2023,Homepage,View,48
24,77,6,25-06-2025,Checkout,Drop-off,NULL
25,75,12,23-11-2023,ProductPage,View,239
26,78,20,17-04-2024,Homepage,View,129
27,36,9,10-08-2024,Homepage,View,214
28,1,20,26-09-2025,ProductPage,View,64
29,12,17,01-06-2025,Homepage,View,205
30,48,2,03-05-2023,ProductPage,View,242
31,81,19,04-04-2023,Homepage,View,130
32,67,11,04-09-2023,Checkout,Drop-off,NULL
33,2,5,10-08-2025,Homepage,View,26
34,55,15,26-10-2023,Homepage,View,233
35,60,19,21-06-2023,homepage,Click,162
36,17,2,20-11-2023,Checkout,Purchase,137
37,38,17,18-06-2024,Checkout,Drop-off,NULL
38,13,18,23-02-2023,ProductPage,View,227
39,63,18,10-08-2023,ProductPage,View,233
40,4,12,22-12-2024,Homepage,View,110
41,92,5,23-11-2025,ProductPage,View,124
42,95,10,28-01-2025,Homepage,View,172
43,21,8,14-03-2025,Homepage,View,40
44,29,3,29-02-2024,Homepage,View,193
45,94,6,07-06-2023,productpage,View,118
46,30,19,27-10-2025,Homepage,View,210
47,30,20,18-02-2024,checkout,Drop-off,NULL
48,52,13,01-02-2025,Homepage,View,241
49,93,14,09-04-2023,Homepage,Click,69
50,5,9,19-04-2024,Homepage,View,44
51,65,8,29-09-2025,ProductPage,View,272
52,15,9,07-08-2025,Checkout,Drop-off,NULL
53,24,4,05-04-2024,Homepage,View,182
54,9,11,19-11-2024,checkout,Drop-off,NULL
55,1,7,17-03-2024,Checkout,Drop-off,NULL
56,97,11,20-12-2023,Homepage,Click,234
57,52,14,02-12-2024,Homepage,View,253
58,51,20,08-03-2025,ProductPage,View,174
59,32,8,19-08-2024,Homepage,View,238
60,19,6,17-06-2025,ProductPage,View,190
61,69,20,12-07-2025,Homepage,Click,14
62,42,1,22-10-2024,Homepage,View,186
63,51,15,22-05-2025,Homepage,View,139
64,86,20,03-07-2023,ProductPage,View,77
65,54,10,23-12-2023,Homepage,View,101
66,52,2,16-11-2023,homepage,Click,242
67,25,1,21-05-2023,ProductPage,Click,57
68,45,16,29-04-2023,ProductPage,Click,250
69,82,19,21-02-2025,ProductPage,Click,158
70,75,17,07-07-2023,Homepage,View,297
71,40,20,13-07-2023,Checkout,Drop-off,NULL
72,47,15,23-08-2023,Homepage,Click,34
73,20,16,17-09-2024,Homepage,View,17
74,81,13,26-09-2024,Homepage,Click,291
75,93,1,01-10-2024,ProductPage,Click,279
76,42,17,29-05-2025,Checkout,Purchase,261
77,36,4,02-06-2023,Homepage,Click,100
78,46,17,15-06-2025,Checkout,Purchase,122
79,75,10,13-11-2023,Homepage,View,244
80,64,6,06-04-2025,Homepage,Click,161
81,89,15,27-10-2025,Checkout,Purchase,246
82,64,2,07-06-2025,Homepage,Click,261
83,54,8,18-01-2024,ProductPage,Click,83
84,79,15,09-03-2025,Checkout,Purchase,48
85,56,4,26-05-2023,Homepage,Click,166
86,83,3,06-09-2023,Homepage,View,79
87,2,2,25-09-2023,Homepage,View,277
88,15,20,18-12-2025,homepage,View,136
89,14,9,18-04-2025,Homepage,Click,104
90,49,8,25-03-2025,Homepage,View,248
91,99,10,07-12-2023,Homepage,Click,244
92,88,14,09-03-2025,Homepage,View,29
93,43,8,22-08-2023,Checkout,Drop-off,NULL
94,15,18,20-09-2024,Homepage,Click,143
95,60,8,14-09-2024,Homepage,View,182
96,22,9,28-07-2024,ProductPage,View,212
97,92,19,26-05-2025,homepage,View,203
98,95,8,25-05-2025,Homepage,Click,68
99,58,16,06-07-2024,Checkout,Purchase,87
100,92,10,06-04-2024,ProductPage,View,237
101,24,12,14-04-2024,Homepage,Click,37
102,33,16,23-04-2024,Homepage,View,165
103,7,11,06-12-2025,Checkout,Drop-off,NULL
104,51,18,03-05-2023,Homepage,Click,156
105,68,2,19-11-2023,Homepage,View,80
106,90,11,03-10-2024,productpage,View,96
107,76,19,15-03-2023,ProductPage,View,215
108,14,5,06-03-2023,ProductPage,View,245
109,65,7,14-08-2025,Checkout,Drop-off,NULL
110,20,18,07-02-2023,ProductPage,View,232
111,72,12,11-06-2023,homepage,View,264
112,30,12,16-04-2025,ProductPage,View,203
113,79,18,15-12-2025,Checkout,Drop-off,NULL
114,92,10,26-06-2023,ProductPage,View,38
115,38,14,07-01-2024,Homepage,View,297
116,27,1,29-04-2024,ProductPage,View,297
117,46,5,14-12-2025,ProductPage,View,103
118,26,14,25-04-2025,ProductPage,View,71
119,93,20,13-03-2025,Homepage,Click,172
120,37,17,29-02-2024,Checkout,Purchase,180
121,86,5,17-10-2025,homepage,Click,33
122,96,19,22-10-2025,ProductPage,Click,201
123,59,15,10-04-2024,Homepage,View,93
124,10,8,27-07-2024,ProductPage,View,262
125,67,19,07-06-2025,Checkout,Drop-off,NULL
126,39,4,14-01-2025,Homepage,Click,142
127,5,4,11-12-2023,Homepage,View,287
128,34,8,03-07-2023,Homepage,Click,13
129,91,20,05-07-2025,Homepage,Click,283
130,41,13,07-09-2024,Homepage,Click,73
131,98,13,09-01-2025,Homepage,View,15
132,68,14,17-06-2023,productpage,View,56
133,46,20,20-06-2024,Homepage,View,74
134,40,9,14-12-2023,Homepage,Click,34
135,52,20,03-05-2025,ProductPage,Click,168
136,77,2,29-05-2024,Homepage,View,129
137,40,6,07-02-2023,ProductPage,View,85
138,26,18,11-05-2025,ProductPage,View,172
139,24,5,13-11-2025,Homepage,View,248
140,11,12,26-01-2024,checkout,Drop-off,NULL
141,57,7,01-07-2024,ProductPage,View,15
142,53,14,31-05-2024,Homepage,Click,10
143,95,17,13-03-2025,Homepage,Click,262
144,95,12,17-09-2025,Homepage,Click,179
145,60,19,21-10-2025,Homepage,Click,62
146,86,1,07-12-2025,Homepage,View,208
147,86,18,21-04-2023,Homepage,View,294
148,15,3,22-10-2025,ProductPage,View,185
149,93,7,27-05-2024,ProductPage,View,18
150,58,16,20-04-2024,Homepage,Click,263
151,79,20,04-11-2023,checkout,Purchase,298
152,85,5,02-07-2024,Checkout,Drop-off,NULL
153,39,19,19-09-2025,homepage,Click,253
154,85,20,04-08-2023,Homepage,View,22
155,82,2,12-05-2023,Homepage,View,195
156,26,3,18-10-2024,checkout,Drop-off,NULL
157,96,20,10-09-2025,Homepage,View,86
158,17,18,19-11-2025,Homepage,Click,97
159,36,7,21-03-2024,ProductPage,Click,160
160,83,12,20-12-2025,Checkout,Purchase,240
161,17,19,15-01-2025,ProductPage,View,50
162,52,10,30-03-2024,ProductPage,View,139
163,49,2,20-02-2024,Homepage,View,101
164,90,9,19-10-2025,Homepage,Click,226
165,93,15,18-09-2024,Homepage,Click,169
166,44,13,27-09-2024,Checkout,Purchase,141
167,8,4,18-02-2023,ProductPage,View,133
168,88,17,03-04-2023,ProductPage,View,274
169,40,19,03-03-2023,homepage,View,255
170,98,13,20-10-2025,ProductPage,View,33
171,29,2,09-09-2023,Homepage,Click,287
172,33,8,30-10-2023,ProductPage,Click,212
173,64,5,28-08-2024,ProductPage,Click,231
174,62,7,12-12-2024,Homepage,Click,299
175,82,16,17-10-2025,Checkout,Purchase,291
176,80,6,12-05-2023,Checkout,Drop-off,NULL
177,5,17,06-03-2024,ProductPage,View,237
178,93,10,03-02-2023,Homepage,View,100
179,99,5,02-06-2025,productpage,View,187
180,54,17,26-11-2024,Homepage,View,110
181,44,20,19-05-2025,Checkout,Drop-off,NULL
182,33,13,22-04-2025,ProductPage,View,248
183,54,16,21-08-2024,ProductPage,View,129
184,7,11,30-09-2024,ProductPage,View,250
185,27,6,29-12-2023,ProductPage,View,165
186,25,2,04-01-2024,ProductPage,View,287
187,51,14,22-09-2025,Checkout,Drop-off,NULL
188,94,2,27-01-2025,Homepage,View,21
189,57,8,20-08-2023,Checkout,Drop-off,NULL
190,90,18,14-02-2024,Homepage,View,257
191,40,10,19-07-2023,homepage,Click,100
192,82,3,31-03-2023,Checkout,Purchase,118
193,88,13,22-09-2025,Homepage,Click,121
194,13,11,27-04-2025,Homepage,View,54
195,8,4,12-08-2025,Homepage,Click,16
196,25,8,23-08-2025,ProductPage,Click,25
197,29,9,07-10-2024,ProductPage,Click,295
198,70,8,23-12-2025,Homepage,View,275
199,43,11,02-02-2024,ProductPage,View,17
200,83,18,24-02-2024,ProductPage,View,78
201,75,10,25-04-2025,Checkout,Drop-off,NULL
202,87,12,22-04-2023,ProductPage,View,145
203,44,11,28-12-2024,Homepage,View,230
204,99,20,01-09-2025,Homepage,Click,21
205,41,19,03-03-2023,homepage,View,282
206,39,5,21-04-2023,ProductPage,View,118
207,46,3,02-02-2023,Homepage,Click,224
208,43,4,30-12-2023,ProductPage,Drop-off,NULL
209,36,12,08-10-2025,ProductPage,View,246
210,63,7,07-09-2023,Checkout,Drop-off,NULL
211,54,9,19-04-2024,ProductPage,View,255
212,99,15,03-03-2025,Homepage,View,269
213,54,3,07-03-2025,ProductPage,View,145
214,33,9,10-01-2023,productpage,View,200
215,71,7,08-06-2024,Checkout,Drop-off,NULL
216,33,6,05-01-2023,Checkout,Drop-off,NULL
217,82,16,26-08-2023,Homepage,View,118
218,19,3,04-05-2025,Homepage,View,155
219,15,10,29-12-2024,Homepage,Click,280
220,43,5,11-07-2024,ProductPage,Click,235
221,52,12,19-08-2025,Homepage,View,213
222,66,15,02-03-2024,Homepage,View,227
223,53,1,07-03-2024,ProductPage,View,184
224,84,10,21-03-2025,Checkout,Drop-off,NULL
225,12,10,27-11-2023,ProductPage,View,163
226,72,20,03-06-2023,Homepage,Click,206
227,7,6,01-05-2024,productpage,Click,171
228,40,6,15-01-2023,Homepage,Click,174
229,16,17,30-01-2025,ProductPage,Drop-off,NULL
230,78,20,13-11-2025,ProductPage,View,176
231,61,12,31-07-2025,Homepage,View,206
232,81,2,28-06-2025,Checkout,Drop-off,NULL
233,92,15,11-05-2023,ProductPage,View,252
234,54,20,02-02-2025,ProductPage,View,191
235,33,7,25-01-2024,ProductPage,View,109
236,10,11,27-07-2025,Homepage,Click,209
237,29,4,26-06-2023,Homepage,Click,260
238,93,14,29-08-2025,Homepage,View,153
239,60,13,28-04-2024,Checkout,Drop-off,NULL
240,15,9,16-09-2023,Homepage,Click,103
241,63,18,17-06-2024,Checkout,Purchase,101
242,76,3,31-01-2023,Homepage,View,23
243,82,9,20-04-2024,Homepage,Click,255
244,3,5,24-04-2025,ProductPage,Click,187
245,69,20,06-04-2024,ProductPage,Click,283
246,90,4,10-08-2024,ProductPage,Click,154
247,26,9,26-10-2023,Homepage,View,97
248,35,20,23-02-2024,Homepage,Click,46
249,58,7,21-07-2023,Homepage,View,133
250,81,13,12-10-2025,ProductPage,View,209
251,13,6,10-12-2023,Homepage,View,102
252,87,19,13-01-2023,Homepage,View,208
